"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 21 08:16:07 GMT 2025","Sun Sep 21 08:16:10 GMT 2025","3098","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Sep 21 08:16:17 GMT 2025","Sun Sep 21 08:16:19 GMT 2025","2269","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Sep 21 08:16:10 GMT 2025","Sun Sep 21 08:16:12 GMT 2025","1605","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 21 08:16:16 GMT 2025","Sun Sep 21 08:16:16 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sun Sep 21 08:16:12 GMT 2025","Sun Sep 21 08:16:13 GMT 2025","1463","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 21 08:16:21 GMT 2025","Sun Sep 21 08:16:21 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sun Sep 21 08:16:16 GMT 2025","Sun Sep 21 08:16:16 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sun Sep 21 08:16:16 GMT 2025","Sun Sep 21 08:16:16 GMT 2025","1","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sun Sep 21 08:16:14 GMT 2025","Sun Sep 21 08:16:15 GMT 2025","1568","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 21 08:16:19 GMT 2025","Sun Sep 21 08:16:21 GMT 2025","1534","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Sep 21 08:16:14 GMT 2025","Sun Sep 21 08:16:16 GMT 2025","2161","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Sep 21 08:16:13 GMT 2025","Sun Sep 21 08:16:14 GMT 2025","1387","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Sep 21 08:16:09 GMT 2025","Sun Sep 21 08:16:11 GMT 2025","1973","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Sep 21 08:16:07 GMT 2025","Sun Sep 21 08:16:09 GMT 2025","1748","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
