"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 18 06:39:35 GMT 2025","Thu Sep 18 06:39:36 GMT 2025","1394","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Sep 18 06:39:32 GMT 2025","Thu Sep 18 06:39:32 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Thu Sep 18 06:39:32 GMT 2025","Thu Sep 18 06:39:32 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Thu Sep 18 06:39:36 GMT 2025","Thu Sep 18 06:39:36 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Thu Sep 18 06:39:32 GMT 2025","Thu Sep 18 06:39:32 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Thu Sep 18 06:39:32 GMT 2025","Thu Sep 18 06:39:34 GMT 2025","2043","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Sep 18 06:39:29 GMT 2025","Thu Sep 18 06:39:30 GMT 2025","1347","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Sep 18 06:39:26 GMT 2025","Thu Sep 18 06:39:28 GMT 2025","1398","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Sep 18 06:39:30 GMT 2025","Thu Sep 18 06:39:32 GMT 2025","1907","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Sep 18 06:39:28 GMT 2025","Thu Sep 18 06:39:29 GMT 2025","1311","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Sep 18 06:39:29 GMT 2025","Thu Sep 18 06:39:31 GMT 2025","1324","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Sep 18 06:39:25 GMT 2025","Thu Sep 18 06:39:27 GMT 2025","2032","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Sep 18 06:39:23 GMT 2025","Thu Sep 18 06:39:25 GMT 2025","1549","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Sep 18 06:39:23 GMT 2025","Thu Sep 18 06:39:26 GMT 2025","2687","LMS system","Authentication","Authorization","","","User login with correct email and password",""
